iter	RMSE
0	0.5217184179
1	0.519254036
2	0.5170572884
3	0.5140016969
4	0.5118063871
5	0.5095294185
6	0.5070695051
7	0.5050874058
8	0.5027310699
9	0.5007702435
10	0.4990465558
11	0.4974054029
12	0.496253292
13	0.4947969501
14	0.4924387553
15	0.4910577647
16	0.4895407883
17	0.4880087417
18	0.4858799962
19	0.4840021397
20	0.4824475049
21	0.4806122473
22	0.4788803889
23	0.4777663002
24	0.4765748397
25	0.4753311972
26	0.4740204275
27	0.4725573328
28	0.4709494875
29	0.4694675663
30	0.4685773664
31	0.4675693273
32	0.4657612942
33	0.465163381
34	0.4640219595
35	0.4622900554
36	0.4606734997
37	0.4598473067
38	0.4582257071
39	0.4571860931
40	0.4564236694
41	0.4545954033
42	0.4534965761
43	0.4525948382
44	0.4512580838
45	0.4497693242
46	0.4488362775
47	0.4474562525
48	0.4461510091
49	0.4451374316
50	0.4446271175
51	0.4436042497
52	0.4429348871
53	0.4422657524
54	0.4416622249
55	0.4404038649
56	0.4394894297
57	0.4387144092
58	0.43785606
59	0.4366932933
60	0.4358193783
61	0.4353674956
62	0.4344967928
63	0.4337522063
64	0.4329830313
65	0.4318168678
66	0.4309317587
67	0.4303226734
68	0.4293559037
69	0.4284000736
70	0.4281589919
71	0.4270230208
72	0.4259401774
73	0.4251427037
74	0.4241715575
75	0.4232605589
76	0.4227503928
77	0.4223410199
78	0.4214471306
79	0.4209323753
80	0.4203412352
81	0.4196113103
82	0.4190108805
83	0.4179949008
84	0.4169779657
85	0.4165021035
86	0.4157280336
87	0.4149908086
88	0.4141701448
89	0.4134530412
90	0.4126309474
91	0.4120515171
92	0.4113120187
93	0.4106664998
94	0.409902054
95	0.4093537711
96	0.4087238303
97	0.4079499603
98	0.4074941417
99	0.4074035897
100	0.4068791978
101	0.4061964728
102	0.4057323527
103	0.404833377
104	0.4042097638
105	0.4036043588
106	0.403051143
107	0.4023313839
108	0.4017827864
109	0.4013317091
110	0.4008153698
111	0.4004341533
112	0.400076124
113	0.3994508746
114	0.3988954607
115	0.3983339785
116	0.3977270815
117	0.3971768795
118	0.3966383068
119	0.3960535141
120	0.3955300003
121	0.3949740168
122	0.3942361428
123	0.393469468
124	0.3929497302
125	0.3926009185
126	0.3922428466
127	0.3916022981
128	0.3910357147
129	0.3904519713
130	0.3899530046
131	0.3896781312
132	0.3892270421
133	0.3889416829
