iter	Passed	Remaining
0	1	3465
1	2	2774
2	5	3393
3	6	3168
4	6	2704
5	7	2449
6	8	2383
7	10	2580
8	11	2528
9	12	2478
10	13	2442
11	15	2535
12	15	2423
13	16	2318
14	17	2253
15	17	2171
16	18	2105
17	18	2042
18	19	1988
19	19	1938
20	21	2036
21	22	2011
22	23	2011
23	24	1994
24	25	1975
25	25	1920
26	26	1914
27	27	1912
28	28	1910
29	28	1891
30	29	1872
31	29	1833
32	30	1819
33	30	1772
34	31	1756
35	32	1747
36	32	1730
37	32	1700
38	33	1691
39	34	1669
40	34	1635
41	35	1647
42	36	1640
43	36	1639
44	38	1655
45	39	1673
46	40	1673
47	41	1672
48	41	1670
49	42	1664
50	43	1661
51	44	1656
52	44	1640
53	45	1639
54	46	1644
55	47	1643
56	48	1645
57	49	1641
58	49	1641
59	50	1637
60	51	1637
61	52	1633
62	53	1645
63	54	1655
64	55	1651
65	56	1643
66	56	1635
67	57	1630
68	58	1630
69	59	1631
70	59	1620
71	60	1608
72	61	1611
73	61	1606
74	62	1607
75	63	1606
76	64	1599
77	64	1594
78	65	1598
79	68	1635
80	69	1642
81	70	1637
82	70	1632
83	71	1623
84	71	1613
85	72	1617
86	73	1610
87	74	1613
88	75	1611
89	75	1608
90	76	1608
91	77	1606
92	78	1603
93	78	1599
94	79	1589
95	80	1591
96	81	1602
97	82	1605
98	83	1603
99	83	1592
100	84	1591
101	85	1587
102	86	1584
103	86	1580
104	87	1586
105	88	1583
106	89	1584
107	90	1585
108	91	1588
109	92	1586
110	93	1584
111	94	1597
112	95	1592
113	96	1589
114	96	1585
115	97	1582
116	98	1580
117	98	1576
118	99	1573
119	100	1571
120	101	1568
121	101	1565
122	102	1562
123	103	1559
124	104	1561
125	104	1557
126	105	1554
127	105	1547
128	107	1557
129	108	1558
130	109	1556
131	109	1547
132	110	1545
133	110	1542
