,vacancy_id
0,131765894
1,130285387
2,128539097
3,131619736
4,131478467
5,131736456
6,131742054
7,130689951
8,131576417
9,131560605
10,131562456
11,131520640
12,131551654
13,131666245
14,131560538
15,131392936
16,131392893
17,130961535
18,131503916
19,131239016
20,131546356
21,131040143
22,131183152
23,131292282
24,128916026
28,130880927
29,131676356
30,131226379
31,130379523
32,131188794
34,131550326
35,131550327
36,131550328
37,130372543
38,131749512
39,130403792
41,131449167
42,131116844
43,131517186
45,131518157
46,130618847
47,131554397
49,130581487
50,131267217
52,131485364
53,130793004
54,130510215
55,131455554
57,131318710
58,131330968
62,131175128
66,131373625
68,131293843
69,129701354
72,131126203
73,131126167
74,131126124
75,131125557
76,131170153
78,131123088
80,131297421
81,131297422
82,131297423
83,131736997
84,131736874
85,131624083
86,131174334
88,130968313
92,131251209
94,131522926
95,125725578
97,130972033
98,130978125
99,129723226
100,129723227
101,131430041
103,129661922
106,130998419
107,131031310
108,131464058
109,127957960
112,131085308
114,131430599
115,131257934
118,131347091
119,131155517
121,131358043
122,129498881
123,131666367
124,131314510
125,131707186
127,131370456
128,131717217
129,130970296
132,131656030
134,129370191
135,131049880
136,130043408
137,131613277
139,130261963
140,131517420
143,131579291
144,131635138
146,131469416
147,131214186
148,131502283
149,131321259
151,131124032
153,130995687
154,131168194
155,131376259
156,131311969
157,131350367
158,129524194
161,130311866
166,129515507
167,131247794
168,131196555
170,130132093
171,131122190
175,131055649
176,130182438
177,130995442
178,131052549
179,130979849
185,131550329
186,131550330
187,131550331
188,131550332
189,131550333
190,131126098
191,131297424
192,130501805
193,130501806
194,130501807
195,130124266
196,131772124
197,131787640
199,131793910
200,131795890
201,131178706
202,131772324
203,131177730
204,131784815
205,131777056
207,131662056
208,131796227
209,131773663
210,131793485
211,131793486
212,131775711
213,131596005
214,131795220
215,131734070
216,131733139
217,131764713
218,131515154
219,131481670
220,131753836
221,131621248
222,131664397
223,131230130
224,131329269
225,130432930
226,131052048
227,131514305
228,131768383
229,129433377
231,130534264
232,130411218
233,131700443
234,131425526
235,131319240
239,131757950
240,131754963
241,129606947
242,131754057
243,130927257
244,131002324
245,130487084
246,130926603
247,130926604
248,131713032
249,131781508
250,131765138
251,131733030
253,131021715
254,131021716
255,131720714
257,131657596
258,130971825
260,131166675
261,130891619
262,131714527
263,131724217
264,131717754
265,131700785
266,130973583
267,131726626
268,131436393
269,131707677
270,131698281
271,131287909
272,130827016
273,131678336
276,130358672
277,131759580
278,130860384
279,131675620
280,131670493
282,131665009
284,131733116
285,131669593
286,131729385
287,131652823
289,130989340
290,131660755
291,131726254
292,131751438
293,131672520
294,131552186
295,129807804
296,131747269
300,130999314
301,131612552
303,131608260
304,131679284
305,130250068
306,131494192
307,130860214
308,131671723
311,131645142
312,131706029
317,131696340
318,131662699
319,131696872
320,128229055
326,131622303
327,127331035
331,131719420
332,131590995
333,130875329
334,129995579
335,131678748
336,131677888
338,131534671
339,131663784
340,130718551
341,131591209
343,131290708
344,131572475
345,131449253
346,131554081
347,131579445
348,131662349
349,131504121
350,131619964
351,131537110
352,131552770
353,130915852
354,130743739
356,131676937
357,131554120
358,130939461
359,131112087
360,130359259
361,131472247
362,131466944
364,131515287
365,131715420
366,129232625
367,131435130
368,131562202
369,131519069
370,131383962
371,128992331
372,131590057
373,128011237
374,131445158
375,131617488
376,130917277
377,131355799
378,131603243
379,131331454
380,130648164
381,131318350
382,131554754
383,125585709
384,131203010
385,130540580
386,131198720
387,131191720
388,131483619
392,131540189
393,130819725
395,131267942
396,130357892
397,131500873
398,127846035
399,129450800
400,131237058
405,131502520
406,131542738
408,131138126
409,131463824
410,131503629
411,131501411
412,131363232
413,131531038
414,131622504
416,131572411
417,131461229
418,130687729
419,129271619
420,131198199
421,131310651
422,131197581
423,130528905
425,131517954
426,131112288
427,131500802
428,131620682
429,131341334
432,130707751
433,131349761
434,131039704
435,131395057
437,131435122
438,131313764
439,131620704
440,131310448
441,131310242
442,131539327
443,120382236
444,120382490
445,131352021
446,131481436
447,131300310
449,131282033
450,131005055
451,131309705
452,131466305
453,131307104
454,131577096
455,131518469
456,128905442
457,131171773
458,130328415
459,131439644
460,131588692
461,131144259
462,127109662
463,131574822
465,131352886
467,131581306
468,121370571
469,131537284
471,131435138
472,130467183
473,131217398
474,131302348
475,131338026
476,129271634
477,129271576
478,131322770
479,131215232
480,131366580
481,131132127
482,131114770
483,131112586
484,131299878
485,131252038
486,131096219
487,131084074
488,131350232
489,130320529
490,131114844
491,131522044
492,131522045
493,131101570
494,131128427
496,129256849
497,129256840
498,129256823
499,131204647
500,131358142
501,131349283
502,130563175
505,127709971
506,131771833
507,131412182
509,131085234
510,131177822
511,131310364
512,131380136
513,131353494
514,131269133
515,131419523
517,131141193
518,131503257
520,130321316
521,131087856
522,131087857
523,131087858
524,129417607
525,131154116
526,131101664
527,131465155
528,131279533
529,131030756
530,131397416
532,129933189
533,131281795
535,131125126
536,130957736
537,131188331
538,130318179
541,131099769
543,131011632
544,131010291
545,131011247
546,130786410
547,131074162
548,127637138
