iter	RMSE
0	0.7989776642
1	0.7956693954
2	0.7934440257
3	0.79069698
4	0.7884398459
5	0.7864827262
6	0.7826535051
7	0.7805663317
8	0.7791523958
9	0.7771626093
10	0.7757371078
11	0.7740704877
12	0.7721070459
13	0.7687265396
14	0.7664466508
15	0.7648330715
16	0.7630990955
17	0.7609403142
18	0.7587780532
19	0.7563317368
20	0.7549315776
21	0.7530628863
22	0.7513890376
23	0.7497963717
24	0.7477508512
25	0.7467258473
26	0.7433843778
27	0.7421106733
28	0.7399102673
29	0.7392693168
30	0.737933972
31	0.7364448037
32	0.7350173516
33	0.7331704359
34	0.7315040719
35	0.7304695096
36	0.7298198995
37	0.7284506691
38	0.7273428858
39	0.7260771398
40	0.7242288022
41	0.7222981295
42	0.7202854486
43	0.7191536188
44	0.7180864273
45	0.717200984
46	0.7167525008
47	0.7150866516
48	0.7141476496
49	0.7129340988
50	0.7123741468
51	0.7118292339
52	0.7105519685
53	0.7094230412
54	0.708246906
55	0.7075610841
56	0.706738235
57	0.7059674775
58	0.704466357
59	0.7026147671
60	0.7012102737
61	0.7003413992
62	0.6996733912
63	0.699174943
64	0.697827981
65	0.696709961
66	0.6952700519
67	0.6936411517
68	0.6932692765
69	0.6926742175
70	0.6910081451
71	0.6905250453
72	0.6897232566
73	0.6887388536
74	0.6869996721
75	0.6859787235
76	0.6849949184
77	0.6829334265
78	0.6823127788
79	0.6815976716
80	0.6803008476
81	0.6792545344
82	0.67829933
83	0.6776838884
84	0.6748952795
85	0.6733805037
86	0.6725598587
87	0.6720820104
88	0.6694572163
89	0.6678358877
90	0.6669051345
91	0.6653818487
92	0.6647089578
93	0.6640789005
94	0.6628508825
95	0.661979199
96	0.6615224507
97	0.6610229735
98	0.6597812144
99	0.6582633476
100	0.6577103652
101	0.6572175034
102	0.6555982587
103	0.6549886462
104	0.653312125
105	0.652488921
106	0.6515194518
107	0.6509740307
108	0.6497645799
109	0.6487005523
110	0.6479830739
111	0.6472089903
112	0.64701594
113	0.6446512601
114	0.6442384644
115	0.6430460905
116	0.6420445751
117	0.6410137428
118	0.640444448
119	0.6399226505
120	0.6393971503
121	0.638662254
122	0.6371317123
123	0.6365483241
124	0.6359538337
125	0.6354165197
126	0.6345107317
127	0.634345062
128	0.6335455038
129	0.6331931773
130	0.6325738273
131	0.6316370319
132	0.6312826183
133	0.630560267
134	0.630456484
135	0.6293825002
136	0.629045838
137	0.628208024
138	0.6269900326
139	0.6260022885
140	0.6254225315
141	0.6250911719
142	0.6244635411
143	0.6233985462
144	0.6230347185
145	0.622646371
146	0.6219473532
147	0.6217029543
148	0.6210673222
149	0.6204302756
150	0.6193997734
151	0.6184372265
152	0.6174854134
153	0.6164175269
154	0.6158862442
155	0.6152452334
156	0.6145641876
157	0.6144066677
158	0.6134579016
159	0.6127464353
160	0.6119120448
161	0.6116285571
162	0.611043622
163	0.6100811987
164	0.6092528357
165	0.6085954332
166	0.6081457415
167	0.6073109463
168	0.606697705
169	0.6053981393
170	0.6048422301
171	0.6038142248
172	0.6025987925
173	0.6017012164
174	0.6014026862
175	0.6011281546
176	0.6007412314
177	0.6005900541
178	0.60047452
179	0.5996022346
180	0.5993361246
181	0.598811428
182	0.5982456029
183	0.5975590267
184	0.5968583502
185	0.5963897308
186	0.5954589101
187	0.5935278575
188	0.5928147023
189	0.5923398727
190	0.591563267
191	0.5908908726
192	0.5903220068
193	0.5901154664
194	0.5892994137
195	0.5886764837
196	0.5868458379
197	0.5860739469
198	0.58558427
199	0.5853936614
200	0.5851641239
201	0.584665437
202	0.5841648361
203	0.5838578788
204	0.582879948
205	0.5825953795
206	0.5825324187
207	0.5821015092
208	0.5812010958
209	0.5808428478
210	0.5800010025
211	0.5789861733
212	0.5784276586
213	0.5780865687
214	0.5775066017
215	0.5772788325
216	0.5750759921
217	0.574432456
218	0.5732874565
219	0.5728654891
220	0.5723963102
