iter	Passed	Remaining
0	99	198297
1	117	117103
2	132	88389
3	149	74631
4	151	60316
5	152	50768
6	194	55257
7	197	49282
8	205	45437
9	207	41215
10	210	38084
11	212	35279
12	216	33120
13	219	31204
14	226	29942
15	232	28791
16	233	27269
17	241	26599
18	247	25846
19	251	24872
20	253	23874
21	256	23029
22	260	22364
23	262	21642
24	265	20958
25	268	20399
26	271	19843
27	284	20012
28	289	19678
29	289	19030
30	292	18555
31	293	18031
32	294	17567
33	297	17223
34	299	16807
35	300	16414
36	304	16156
37	309	15977
38	313	15743
39	318	15623
40	324	15485
41	330	15406
42	336	15308
43	340	15127
44	348	15157
45	353	15008
46	355	14786
47	359	14614
48	363	14470
49	368	14362
50	372	14244
51	376	14103
52	379	13929
53	382	13791
54	387	13700
55	392	13618
56	395	13484
57	399	13389
58	401	13212
59	405	13115
60	408	12990
61	411	12851
62	415	12764
63	416	12613
64	421	12535
65	424	12425
66	426	12315
67	429	12201
68	430	12051
69	431	11907
70	433	11776
71	435	11662
72	438	11571
73	440	11462
74	446	11451
75	448	11355
76	452	11311
77	457	11273
78	461	11214
79	462	11110
80	464	11013
81	468	10953
82	470	10867
83	471	10764
84	474	10700
85	477	10629
86	479	10548
87	481	10469
88	484	10410
89	486	10330
90	489	10267
91	493	10226
92	496	10175
93	499	10125
94	501	10062
95	504	10005
96	511	10028
97	512	9941
98	513	9861
99	515	9793
100	517	9732
101	519	9675
102	521	9608
103	529	9651
104	532	9606
105	535	9568
106	537	9511
107	539	9457
108	543	9421
109	549	9439
110	552	9397
111	554	9345
112	554	9262
113	557	9220
114	559	9173
115	562	9129
116	564	9080
117	565	9022
118	567	8970
119	569	8920
120	572	8892
121	575	8853
122	577	8811
123	579	8767
124	581	8716
125	584	8698
126	587	8664
127	587	8599
128	593	8606
129	594	8558
130	596	8513
131	599	8477
132	601	8436
133	602	8394
134	614	8483
135	616	8443
136	617	8397
137	620	8373
138	624	8354
139	626	8329
140	629	8295
141	631	8258
142	632	8215
143	635	8185
144	638	8166
145	640	8127
146	641	8082
147	642	8042
148	644	8007
149	646	7970
150	648	7935
151	649	7897
152	651	7864
153	652	7826
154	655	7800
155	656	7762
156	659	7736
157	660	7703
158	662	7666
159	663	7632
160	665	7599
161	669	7601
162	672	7578
163	675	7566
164	677	7534
165	679	7509
166	680	7466
167	687	7498
168	690	7484
169	692	7457
170	695	7438
171	696	7404
172	704	7437
173	708	7433
174	710	7410
175	717	7438
176	723	7455
177	726	7432
178	732	7447
179	734	7422
180	736	7406
181	739	7382
182	741	7359
183	743	7335
184	745	7314
185	749	7312
186	752	7298
187	754	7276
188	757	7259
189	760	7248
190	764	7244
191	768	7239
192	771	7222
193	776	7227
194	778	7204
195	779	7174
196	780	7143
197	782	7117
198	783	7087
199	784	7057
200	785	7031
201	787	7013
202	791	7009
203	794	6990
204	798	6988
205	804	7004
206	806	6989
207	812	6995
208	817	7003
209	822	7012
210	825	7002
211	827	6982
212	829	6955
213	831	6941
214	835	6940
215	837	6918
216	839	6900
217	841	6882
218	842	6855
219	850	6879
220	852	6865
